,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
10276,11,schick p,roma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
11020,11,juric,genoa,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
95,11,cragno a,cagliari,P,2.5,5.5,-3.0,0.0,0.0,0.0,0.0,0.0,2018-19
447,11,radu i,genoa,P,0.5,5.5,-5.0,0.0,0.0,0.0,0.0,0.0,2018-19
10328,11,simeone g,fiorentina,A,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
431,11,provedel i,empoli,P,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,2018-19
10583,11,allegri,juventus,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4078,11,skriniar m,inter,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3393,11,nuytinck b,udinese,D,3.5,4.5,0.0,0.0,-1.0,0.0,0.0,0.0,2018-19
250,11,handanovic s,inter,P,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
10303,11,siligardi l,parma,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
329,11,milinkovic v,spal,P,1.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,2018-19
3778,11,romagnoli a,milan,D,10.5,8.0,3.0,-0.5,0.0,0.0,0.0,0.0,2018-19
3838,11,romulo,genoa,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10236,11,santander f,bologna,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4006,11,silvestre m,empoli,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3725,11,rodriguez r,milan,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10892,11,gattuso,milan,0,6.5,7.5,0.0,0.0,-1.0,0.0,0.0,0.0,2018-19
3470,11,palomino j,atalanta,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3199,11,mbaye i,bologna,D,8.5,5.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
3598,11,pezzella ger,fiorentina,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3616,11,pisacane f,cagliari,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
10154,11,rigoni e,atalanta,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10907,11,giampaolo,sampdoria,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4152,11,toloi r,atalanta,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10440,11,suso j,milan,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
385,11,olsen r,roma,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
157,11,donnarumma g,milan,P,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
4171,11,tonelli l,sampdoria,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10132,11,quagliarella f,sampdoria,A,6.0,6.0,3.0,0.0,0.0,-3.0,0.0,0.0,2018-19
3107,11,marlon,sassuolo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10971,11,inzaghi f,bologna,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3868,11,rossettini l,chievo,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4303,11,zapata c,milan,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
11227,11,semplici,spal,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4293,11,zampano f,frosinone,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10719,11,d aversa,parma,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
11171,11,pioli,fiorentina,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3665,11,radu s,lazio,D,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10181,11,ronaldo c,juventus,A,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
11117,11,mazzarri,torino,0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10385,11,stepinski m,chievo,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10763,11,de zerbi,sassuolo,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
270,11,karnezis o,napoli,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
